op,duration,duration_pred,gap,gap_pred,total,total_pred
batchnorm,33.79,38.269283294677734,538.679,565.0175476074219,572.4689999999999,603.2868309020996
relu,9.504,9.308984875679016,253.453,253.43799591064453,262.957,262.74698078632355
conv2d,74.938,91.25669479370117,146.229,132.19404220581055,221.16700000000003,223.45073699951172
batchnorm,26.815,25.454355239868164,534.103,577.3021240234375,560.918,602.7564792633057
relu,7.68,8.418657541275024,234.351,258.9877586364746,242.031,267.40641617774963
conv2d,89.561,97.63815689086914,104.088,117.36689949035645,193.649,215.0050563812256
cat,27.262,29.081400394439697,156.66,164.1441993713379,183.922,193.2255997657776
batchnorm,37.694,41.90388822555542,532.28,571.0078887939453,569.9739999999999,612.9117770195007
relu,10.143,9.896982192993164,243.182,252.20822143554688,253.325,262.10520362854004
conv2d,90.873,96.70176315307617,131.286,122.21929740905762,222.159,218.9210605621338
batchnorm,26.558,24.827234268188477,535.033,574.4935607910156,561.591,599.3207950592041
relu,7.711,8.033090949058533,236.494,258.3127555847168,244.205,266.34584653377533
conv2d,89.049,92.18692398071289,98.137,123.30963706970215,187.186,215.49656105041504
cat,30.494,31.842630863189697,312.073,164.24557876586914,342.567,196.08820962905884
batchnorm,43.198,55.382347106933594,505.337,531.2069244384766,548.535,586.5892715454102
relu,11.391,12.571901321411133,230.607,245.26796340942383,241.998,257.83986473083496
conv2d,101.464,74.72458744049072,90.137,101.04666900634766,191.601,175.77125644683838
avg_pool2d,15.167,13.183954238891602,321.128,326.6004867553711,336.29499999999996,339.7844409942627
batchnorm,21.823,27.308947563171387,546.775,576.5065460205078,568.598,603.8154935836792
relu,4.864,4.770571231842041,250.829,244.45396423339844,255.693,249.22453546524048
conv2d,56.924,38.90727615356445,161.14,179.30430221557617,218.064,218.21157836914062
batchnorm,20.959,25.483064651489258,547.958,571.2783660888672,568.9169999999999,596.7614307403564
relu,4.768,6.113413333892822,243.406,242.67167282104492,248.174,248.78508615493774
conv2d,89.049,72.79538440704346,92.313,113.44706344604492,181.36200000000002,186.24244785308838
cat,9.76,13.485620498657227,167.379,178.97531127929688,177.13899999999998,192.4609317779541
batchnorm,21.375,24.19803810119629,560.278,582.4713134765625,581.653,606.6693515777588
relu,5.343,5.762033939361572,228.303,240.80841827392578,233.646,246.57045221328735
conv2d,40.189,42.27323532104492,162.932,172.65819549560547,203.12099999999998,214.9314308166504
batchnorm,21.407,22.143884658813477,542.711,565.3593597412109,564.118,587.5032444000244
relu,5.215,5.8557305335998535,238.287,242.929443359375,243.502,248.78517389297485
conv2d,88.633,75.79460906982422,92.409,115.46827507019043,181.042,191.26288414001465
cat,11.391,11.668176651000977,166.548,176.392822265625,177.939,188.06099891662598
batchnorm,26.59,28.65362787246704,731.658,581.1139984130859,758.248,609.767626285553
relu,5.183,6.3985161781311035,248.75,241.6530990600586,253.933,248.0516152381897
